File Name,File Type,Download URL
1.1_V-Do_Transition_INTRO_Optimized.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/1.1_V-Do_Transition_INTRO_Optimized.mp4
1.2_V-Do_Transition_SEQUENCING_Optimized.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/1.2_V-Do_Transition_SEQUENCING_Optimized.mp4
1.3_V-Do_Transition_Cause_and_Effect_Optimized.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/1.3_V-Do_Transition_Cause_and_Effect_Optimized.mp4
1.4_V-Do_Transition_Compare_Contrast_Optimized.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/1.4_V-Do_Transition_Compare_Contrast_Optimized.mp4
2.1_V-Do PreTeach_ChoosingWords_Optimized.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/2.1_V-Do PreTeach_ChoosingWords_Optimized.mp4
2.2_V-Do_Preteach_How_to_Preteach_Optimized.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/2.2_V-Do_Preteach_How_to_Preteach_Optimized.mp4
3.1_V-Do_Visual Comprehension_Optimized.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/3.1_V-Do_Visual Comprehension_Optimized.mp4
3.2_VDo_CS_VC_WritingSentences_Optimized.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/3.2_VDo_CS_VC_WritingSentences_Optimized.mp4
Vid_2001 - Abbreviation.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2001 - Abbreviation.mp4
Vid_2002 - Name and Surnames.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2002 - Name and Surnames.mp4
Vid_2003 - Titles.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2003 - Titles.mp4
Vid_2004 - Reading Dates.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2004 - Reading Dates.mp4
Vid_2005 - Hyperbole.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2005 - Hyperbole.mp4
Vid_2006 - Antithesis.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2006 - Antithesis.mp4
Vid_2007 - Apostrophe.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2007 - Apostrophe.mp4
Vid_2008 - Metaphor.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2008 - Metaphor.mp4
Vid_2009 - Simile.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2009 - Simile.mp4
Vid_2010 - Alliteration.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2010 - Alliteration.mp4
Vid_2011 - Repetition.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2011 - Repetition.mp4
Vid_2012 - Onomatopoeia.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2012 - Onomatopoeia.mp4
Vid_2013 - Personification.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2013 - Personification.mp4
Vid_2014 - Collocations.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2014 - Collocations.mp4
Vid_2015 - Adverbs.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2015 - Adverbs.mp4
Vid_2016 - Adverbs of degree.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2016 - Adverbs of degree.mp4
Vid_2017 - Adverbs of frequency.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2017 - Adverbs of frequency.mp4
Vid_2018 - Adverbs of manner.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2018 - Adverbs of manner.mp4
Vid_2019 - Adverbs of place.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2019 - Adverbs of place.mp4
Vid_2020 - Adverbs of purpose.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2020 - Adverbs of purpose.mp4
Vid_2021 - Adverbs of time.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2021 - Adverbs of time.mp4
Vid_2022 - Articles.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2022 - Articles.mp4
Vid_2023 - Commands and Requests.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2023 - Commands and Requests.mp4
Vid_2024 - Dialogues.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2024 - Dialogues.mp4
Vid_2025 - Exclamations.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2025 - Exclamations.mp4
Vid_2026 - Sentence.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2026 - Sentence.mp4
Vid_2027 - Statement.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2027 - Statement.mp4
Vid_2028 - Stanza and Paragraph.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2028 - Stanza and Paragraph.mp4
Vid_2029 - Subject and Predicate.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2029 - Subject and Predicate.mp4
Vid_2030 - Negative Sentences.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2030 - Negative Sentences.mp4
Vid_2031 - Determiners.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2031 - Determiners.mp4
Vid_2032 - Noun.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2032 - Noun.mp4
Vid_2033 - Common and Proper nouns.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2033 - Common and Proper nouns.mp4
Vid_2034 - Collective Nouns.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2034 - Collective Nouns.mp4
Vid_2035 - Countable and Uncountable Nouns.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2035 - Countable and Uncountable Nouns.mp4
Vid_2036 - Pronoun.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2036 - Pronoun.mp4
"Vid_2037 - Pronouns - Whom, what, where etc.mp4",mp4,"https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2037 - Pronouns - Whom, what, where etc.mp4"
