Video ID,Video Title
File Name,
Vid_001,Introduction.mp4
Vid_002,Basic terms.mp4
Vid_003,Familiar terms in Phonics.mp4
Vid_1001,Letter A.mp4
Vid_1002,Letter B.mp4
Vid_1003,Letter C.mp4
Vid_1004,Letter D.mp4
Vid_1005,Letter E.mp4
Vid_1006,Letter F.mp4
Vid_1007,Letter G.mp4
Vid_1008,Letter H.mp4
Vid_1009,Letter I.mp4
Vid_1010,Letter J.mp4
Vid_1011,Letter K.mp4
Vid_1012,Letter L.mp4
Vid_1013,Letter M.mp4
Vid_1014,Letter N.mp4
Vid_1015,Letter O.mp4
Vid_1016,Letter P.mp4
Vid_1017,Letter Q.mp4
Vid_1018,Letter R.mp4
Vid_1019,Letter S.mp4
Vid_1020,Letter T.mp4
Vid_1021,Letter U.mp4
Vid_1022,Letter V.mp4
Vid_1023,Letter W.mp4
Vid_1024,Letter X.mp4
Vid_1025,Letter Y.mp4
Vid_1026,Letter Z.mp4
Vid_1027,Letter B with vowels.mp4
Vid_1028,Letter C with vowels.mp4
Vid_1029,Letter D with vowels.mp4
Vid_1030,Letter F with vowels.mp4
Vid_1031,Letter G with vowels.mp4
Vid_1032,Letter H with vowels.mp4
Vid_1033,Letter J with vowels.mp4
Vid_1034,Letter K with vowels.mp4
Vid_1035,Letter I with vowels.mp4
Vid_1036,Letter M with vowels.mp4
Vid_1037,Letter N with vowels.mp4
Vid_1038,Letter P with vowels.mp4
Vid_1039,Letter R with vowels.mp4
Vid_1040,Letter S with vowels.mp4
Vid_1041,Letter T with vowels.mp4
Vid_1042,Letter V with vowels.mp4
Vid_1043,Letter W with vowels.mp4
Vid_1044,Letter Y with vowels.mp4
Vid_1045,Letter Z with vowels.mp4
Vid_1046,Alphabet Name and Sound.mp4
Vid_1047,Vowel Family 'A'.mp4
Vid_1048,Vowel Family 'E'.mp4
Vid_1049,Vowel Family 'I'.mp4
Vid_1050,Vowel Family 'O'.mp4
Vid_1051,Vowel Family 'U'.mp4
Vid_1052,Consonant Start Blend - B(bl).mp4
Vid_1053,Consonant Start Blend - B(br).mp4
Vid_1054,Consonant Start Blend - C(cl).mp4
Vid_1055,Consonant Start Blend - C(cr).mp4
Vid_1056,Consonant Start Blend - D(dr).mp4
Vid_1057,Consonant Start Blend - D(dw).mp4
Vid_1058,Consonant Start Blend - F(fl).mp4
Vid_1059,Consonant Start Blend - F(fr).mp4
Vid_1060,Consonant Start Blend - G(gl).mp4
Vid_1061,Consonant Start Blend - G(gr).mp4
Vid_1062,Consonant Start Blend - P(pl).mp4
Vid_1063,Consonant Start Blend - P(pr).mp4
Vid_1064,Consonant Start Blend - S(sc).mp4
Vid_1065,Consonant Start Blend - S(shr).mp4
Vid_1066,Consonant Start Blend - S(sk).mp4
Vid_1067,Consonant Start Blend - S(sl).mp4
Vid_1068,Consonant Start Blend - S(sm).mp4
Vid_1069,Consonant Start Blend - S(sn).mp4
Vid_1070,Consonant Start Blend - S(sp).mp4
Vid_1071,Consonant Start Blend - S(spr).mp4
Vid_1072,Consonant Start Blend - S(st).mp4
Vid_1073,Consonant Start Blend - S(str).mp4
Vid_1074,Consonant Start Blend - S(sw).mp4
Vid_1075,Consonant Start Blend - T(thr).mp4
Vid_1076,Consonant Start Blend - T(tr).mp4
Vid_1077,Consonant Start Blend - T(tw).mp4
Vid_1078,Consonant Start Blend - W(wh).mp4
Vid_1079,Consonant End Blend - C(ct).mp4
Vid_1080,Consonant End Blend - F(ft).mp4
Vid_1081,Consonant End Blend - L(ld).mp4
Vid_1082,Consonant End Blend - L(le).mp4
Vid_1083,Consonant End Blend - L(lf).mp4
Vid_1084,Consonant End Blend - L(lk).mp4
Vid_1085,Consonant End Blend - L(ll).mp4
Vid_1086,Consonant End Blend - L(lm).mp4
Vid_1087,Consonant End Blend - L(lp).mp4
Vid_1088,Consonant End Blend - L(lt).mp4
Vid_1089,Consonant End Blend - M(mp).mp4
Vid_1090,Consonant End Blend - N(nd).mp4
Vid_1091,Consonant End Blend - N(nk).mp4
Vid_1092,Consonant End Blend - N(nt).mp4
Vid_1093,Consonant End Blend - P(pt).mp4
Vid_1094,Consonant End Blend - S(sk).mp4
Vid_1095,Consonant End Blend - S(sp).mp4
Vid_1096,Consonant End Blend - S(ss).mp4
Vid_1097,Consonant End Blend - S(st).mp4
Vid_1098,Digraph 'ch'.mp4
Vid_1099,Digraph 'ck'.mp4
Vid_1100,Digraph 'ng'.mp4
Vid_1101,Digraph 'ph'.mp4
Vid_1102,Digraph 'sh'.mp4
Vid_1103,Digraph 'th'.mp4
Vid_1104,Silent letter 'wr' 'gn' kn'.mp4
Vid_1105,Magic E.mp4
Vid_1106,Magic E - A ___E.mp4
Vid_1107,Magic E - I ___E.mp4
Vid_1108,Magic E - O ___E.mp4
Vid_1109,Magic E - U ___E.mp4
Vid_1110,Phonic rule - Soft C.mp4
Vid_1111,Phonic rule - Soft G.mp4
Vid_1112,Phonic rule - Y.mp4
Vid_1113,Double vowel.mp4
Vid_1114,Long sound of a vowel.mp4
Vid_1115,what-is-a-diphthong.mp4
Vid_1116,Diphthong 'ai'.mp4
Vid_1117,Diphthong 'au'.mp4
Vid_1118,Diphthong 'aw'.mp4
Vid_1119,Diphthong 'ay'.mp4
Vid_1120,"Diphthong ('oy','oi').mp4"
Vid_1121,Analogy-a-set.mp4
Vid_1122,Analogy-e-t-i-set.mp4
Vid_1123,Analogy-o-set.mp4
Vid_1124,7 Sounds of 'ou'.mp4
Vid_1125,R Controlled Vowels.mp4
Vid_1126,Sight words.mp4
